,AAPL,AEP,AMZN,BIIB,CMCSA,CME,COST,CSCO,EA,EBAY,GOOG,HD,HON,INTC,JPM,LULU,META,MSFT,NFLX,NVDA,ORLY,PEP,PFE,QCOM,SBUX,TSLA,TXN,VRTX,WDAY,XEL
GOOG,0.024072411995142814,0.001191932701327502,0.034234319335232154,0.022552264134006492,0.014189280704026256,0.015350915579363486,0.012158642290837792,0.02404846820955008,0.0302630954645988,0.022819197440018743,0.0466425270315129,0.015583541580660625,0.017158128097989715,0.02960561648650245,0.018908135249398383,0.015562303744779661,0.035996794197986515,0.033088939453278655,0.04055167587246468,0.04125709122996139,0.01218446173351523,0.007447329588508164,0.010910330377832423,0.02293493814920814,0.014518048937198123,0.0310670342705452,0.02754771546459577,0.03025198885941565,0.03203587002121537,0.0023640035108794723
HD,0.011287625927845884,0.003065959071710744,0.013243140152859016,0.014596511734278984,0.0118870561998167,0.012556485551121764,0.013573548618020199,0.0155692673893616,0.013681854696684438,0.009572390925607492,0.015583541580660625,0.029640791977678233,0.01371927252430822,0.018363641777435723,0.015254891774634134,0.013837494480390693,0.016295857126030943,0.01608365548905381,0.016725505937864617,0.020261276622806298,0.02357672693329771,0.00801255328699863,0.010765251239187602,0.014914259701206592,0.010490554056955455,0.018575323235384446,0.016293849609056242,0.015591327281651381,0.012953665930502305,0.0025341109504637403
HON,0.01166659886815819,0.002287282973359547,0.01327258956789212,0.014597212469705332,0.009757829824820359,0.013474336440680303,0.009775614944922623,0.016922662692569704,0.014957965370428658,0.014526664233771676,0.017158128097989715,0.01371927252430822,0.025084722207683596,0.018859168821637275,0.016851861203849166,0.00989518400396783,0.013248107053994401,0.018879057283052635,0.017129003040111616,0.02182712832360016,0.011050755748232123,0.006112850190478844,0.011349267834527124,0.016569224421404263,0.01040012742124848,0.016839732201734094,0.018391794490754662,0.017266280817032804,0.01662531453940179,0.0021836596753369436
INTC,0.025469762694800075,0.0012116654820230276,0.02866322948801403,0.025693603491903864,0.016400780672576974,0.016551610666354098,0.014770301928549893,0.029643812039298723,0.030233940144384713,0.02010523119594553,0.02960561648650245,0.018363641777435723,0.018859168821637275,0.07092496129098383,0.020437627103582337,0.01781220438503219,0.028959777974254645,0.03320170961825672,0.04087169540708233,0.04615179627480082,0.018409774397781437,0.009117455957879082,0.014059913776830038,0.028696249788641496,0.010355546370671225,0.03206901585527178,0.037492427111059254,0.03137705379170803,0.03053307470452147,0.0020115432459879715
JPM,0.01467415233778706,-0.00477682333523298,0.01520640838368702,0.01763034825912131,0.015310931596333602,0.021912161352734456,0.011630807802938467,0.019867427149532723,0.014102634910644325,0.01693246147035093,0.018908135249398383,0.015254891774634134,0.016851861203849166,0.020437627103582337,0.03934935263796086,0.012283672384584592,0.0159035460233181,0.01978012262685064,0.022033210500002707,0.023986227084789022,0.014273168311253122,0.00355452076291989,0.012634109220769707,0.017149123046768515,0.0107585297743759,0.018594039116439087,0.018437541909420842,0.01863521767943957,0.015180831970741198,-0.00452914621316446
LULU,0.010797822309047389,-0.0006455762140839598,0.0100858135070974,0.0178621371663391,0.00876169716252452,0.012182400283893894,0.010481593803999323,0.015881590916072594,0.018801523778710187,0.011843899481358137,0.015562303744779661,0.013837494480390693,0.00989518400396783,0.01781220438503219,0.012283672384584592,0.11767563351410823,0.017430887157594277,0.014635399489482339,0.018145333994821496,0.020495075784901607,0.01771155889043962,0.0030600862158938974,0.00894062645369737,0.00985687674115944,0.006291121110653017,0.021287308662024856,0.013765114255888413,0.016407191600835837,0.017141723039207277,-0.0006748198920494244
META,0.02335412846086204,-0.0007004561938307123,0.04020771539271973,0.04212110109102338,0.0035906324089096937,0.01541810684291065,0.007865301823212342,0.018015870177430646,0.03301833501062566,0.015777941819369264,0.035996794197986515,0.016295857126030943,0.013248107053994401,0.028959777974254645,0.0159035460233181,0.017430887157594277,0.0976038170145941,0.031131999496420423,0.0435163777840888,0.041292523090958384,0.014969226847685297,0.008497003517334399,0.009710696052626111,0.009519429155968722,0.012410776779927805,0.03804002350277116,0.02430006895394776,0.03006935931963683,0.035272266506835945,-0.00032533801370659147
MSFT,0.02429529455855222,0.0036816032581483667,0.03384444379921772,0.023241133703681024,0.01364508018656929,0.015975980918476088,0.013512778927258697,0.025397881865227807,0.031329415079982166,0.02141166724631481,0.033088939453278655,0.01608365548905381,0.018879057283052635,0.03320170961825672,0.01978012262685064,0.014635399489482339,0.031131999496420423,0.044069235576293594,0.03643443727825421,0.042334467747988366,0.0157553360300027,0.008391172049533682,0.012170879069065872,0.024689860635703886,0.013348150466966,0.029364109536657856,0.02883244832820972,0.028786219413261725,0.0318895218316762,0.003783666367449401
NFLX,0.026912475110192305,0.0011880348489614414,0.04759914540304791,0.02919882471889287,0.01687468391501056,0.017515192242905323,0.013324971300534784,0.034211907981134264,0.03808248224159025,0.027490889344485098,0.04055167587246468,0.016725505937864617,0.017129003040111616,0.04087169540708233,0.022033210500002707,0.018145333994821496,0.0435163777840888,0.03643443727825421,0.14154958780508192,0.05820575556111438,0.015209755211136293,0.004442683636208158,0.010185892360131866,0.02991563609005222,0.01254571517146514,0.0496045446099874,0.032231677302456775,0.03748438443120515,0.04932629329120474,0.00059654408253778
NVDA,0.032584290570327364,0.0006895544183821832,0.04087752781561845,0.02562909400602039,0.014942006559329713,0.018239138419273302,0.015595261552160448,0.03241547521167185,0.050896071139205405,0.029771608672618605,0.04125709122996139,0.020261276622806298,0.02182712832360016,0.04615179627480082,0.023986227084789022,0.020495075784901607,0.041292523090958384,0.042334467747988366,0.05820575556111438,0.14868783989444131,0.01735425158850584,0.00795416458585595,0.012136984540746838,0.04093161425853961,0.01322516601063796,0.059305182759760315,0.047951113099078915,0.03170536288157538,0.05519208327916388,0.0006270740859326062
ORLY,0.010363090496694524,0.0032166619062030583,0.012193148648757134,0.011078435903438278,0.01402134161155538,0.011997623727322791,0.01635395687401471,0.016595694202099182,0.008999525485448492,0.0025428067641540125,0.01218446173351523,0.02357672693329771,0.011050755748232123,0.018409774397781437,0.014273168311253122,0.01771155889043962,0.014969226847685297,0.0157553360300027,0.015209755211136293,0.01735425158850584,0.08094972020572026,0.007233632217335899,0.009119198714420653,0.014149579925280261,0.016245849628709903,0.018072576678795135,0.014051166884252776,0.01408629680024311,0.011059145541063135,0.0034132135899492076
PEP,0.00642616640286818,0.00941531061099963,0.0050639345138148535,0.007299479655637396,0.008127059307856399,0.005198237762982313,0.007694385632469174,0.007331298212395341,0.01005893471507437,0.0028600333497194063,0.007447329588508164,0.00801255328699863,0.006112850190478844,0.009117455957879082,0.00355452076291989,0.0030600862158938974,0.008497003517334399,0.008391172049533682,0.004442683636208158,0.00795416458585595,0.007233632217335899,0.021330025173504706,0.0074852013178595,0.00900812108582168,0.008302512170390903,0.007776233663653471,0.0081153809174747,0.007981031925992706,0.0048152430870213,0.009342471961967944
PFE,0.007861610481619758,0.003435114182238897,0.007542003359657292,0.01828358030426677,0.009200222574190446,0.010653053371549833,0.009137584869539276,0.012989001326710438,0.008339375800563275,0.010530779869637283,0.010910330377832423,0.010765251239187602,0.011349267834527124,0.014059913776830038,0.012634109220769707,0.00894062645369737,0.009710696052626111,0.012170879069065872,0.010185892360131866,0.012136984540746838,0.009119198714420653,0.0074852013178595,0.025656467898446878,0.014970581786025484,0.006070360024038409,0.008593436821859413,0.01211381883851178,0.01860741259283224,0.008331492119539869,0.003714696449621765
QCOM,0.023631430421801346,0.004117381808612072,0.019736648045709605,0.01729188982302272,0.017271487668977445,0.011557624112750506,0.012451941569368775,0.023502259139539173,0.022994473241546288,0.017766238364511987,0.02293493814920814,0.014914259701206592,0.016569224421404263,0.028696249788641496,0.017149123046768515,0.00985687674115944,0.009519429155968722,0.024689860635703886,0.02991563609005222,0.04093161425853961,0.014149579925280261,0.00900812108582168,0.014970581786025484,0.07788623540137586,0.014737695259832765,0.02136019289790828,0.028275930388927988,0.028453193067965905,0.024618712776672103,0.004384189000585649
SBUX,0.011818022002369541,0.0038123622658863495,0.01398933248433943,0.010027125913535821,0.01163191109821483,0.008860326851643027,0.009238060918193,0.011969879902430224,0.009880586294825834,0.006476173438302793,0.014518048937198123,0.010490554056955455,0.01040012742124848,0.010355546370671225,0.0107585297743759,0.006291121110653017,0.012410776779927805,0.013348150466966,0.01254571517146514,0.01322516601063796,0.016245849628709903,0.008302512170390903,0.006070360024038409,0.014737695259832765,0.03964890068931294,0.013988082329257986,0.013124493902869707,0.014268038953619666,0.01476767832210795,0.004615235627754445
TSLA,0.02751181367955222,-0.001024508639965034,0.038340288915503395,0.02059107971233738,0.01274907082162511,0.015101944348814558,0.013884854379734737,0.025977956587776175,0.03996618500253838,0.01989208173337197,0.0310670342705452,0.018575323235384446,0.016839732201734094,0.03206901585527178,0.018594039116439087,0.021287308662024856,0.03804002350277116,0.029364109536657856,0.0496045446099874,0.059305182759760315,0.018072576678795135,0.007776233663653471,0.008593436821859413,0.02136019289790828,0.013988082329257986,0.20739817145564493,0.028215215715535077,0.020639896160799896,0.0373853838065317,0.0007085458530583795
TXN,0.024435751697578133,0.001670386431187767,0.023370288414376664,0.024196473461132004,0.015148294870467144,0.014100002848436715,0.013462256105119986,0.0247862548500033,0.029932521789831912,0.02390564019202457,0.02754771546459577,0.016293849609056242,0.018391794490754662,0.037492427111059254,0.018437541909420842,0.013765114255888413,0.02430006895394776,0.02883244832820972,0.032231677302456775,0.047951113099078915,0.014051166884252776,0.0081153809174747,0.01211381883851178,0.028275930388927988,0.013124493902869707,0.028215215715535077,0.05325126148814408,0.025984855522251323,0.029933417933665003,0.001314281033844485
VRTX,0.022126438091861725,0.0025064276891963106,0.02737396140905596,0.04091539636368164,0.022588215144442682,0.014540003444443318,0.012091698101115078,0.022575878702581053,0.02327441940391787,0.02396446746002476,0.03025198885941565,0.015591327281651381,0.017266280817032804,0.03137705379170803,0.01863521767943957,0.016407191600835837,0.03006935931963683,0.028786219413261725,0.03748438443120515,0.03170536288157538,0.01408629680024311,0.007981031925992706,0.01860741259283224,0.028453193067965905,0.014268038953619666,0.020639896160799896,0.025984855522251323,0.13166099098162715,0.034513849465279745,0.002312253838302602
WDAY,0.026249133127992267,0.0011949480787344586,0.03487265014672704,0.021123100305566096,0.011171983207126281,0.014692621233604927,0.007829270472566369,0.027809580105102205,0.03500155803050978,0.022760683040970942,0.03203587002121537,0.012953665930502305,0.01662531453940179,0.03053307470452147,0.015180831970741198,0.017141723039207277,0.035272266506835945,0.0318895218316762,0.04932629329120474,0.05519208327916388,0.011059145541063135,0.0048152430870213,0.008331492119539869,0.024618712776672103,0.01476767832210795,0.0373853838065317,0.029933417933665003,0.034513849465279745,0.09535265905090881,0.002164872904159472
XEL,0.0009101150987250503,0.021029265934234438,0.0018120748440116714,0.0011630159920285156,0.004276970982294516,-0.002372426345092966,0.0047816749490926696,0.003179948813413858,0.0035580310165690835,-0.0023138069441486888,0.0023640035108794723,0.0025341109504637403,0.0021836596753369436,0.0020115432459879715,-0.00452914621316446,-0.0006748198920494244,-0.00032533801370659147,0.003783666367449401,0.00059654408253778,0.0006270740859326062,0.0034132135899492076,0.009342471961967944,0.003714696449621765,0.004384189000585649,0.004615235627754445,0.0007085458530583795,0.001314281033844485,0.002312253838302602,0.002164872904159472,0.023449452955896035
